"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"MDA-MB-415",652,"MDAMB415","ccle;public","breast","carcinoma","","MDA-MB-415","Breast","Breast adenocarcinoma","CVCL_0621","MDAMB415_903_2019","breast","Cancer cell line",TRUE
"MDA-MB-435",655,"MDAMB435S","ccle;public","skin","malignant_melanoma","","MDA-MB-435","Skin","Amelanotic melanoma","CVCL_0417","MDAMB435_904_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",TRUE
"MDA-MB-453",657,"MDAMB453","ccle;public","breast","carcinoma","","MDA-MB-453","Breast","Breast adenocarcinoma","CVCL_0418","MDAMB453_906_2019","breast","Cancer cell line",TRUE
"MDA-MB-468",658,"MDAMB468","ccle;public","breast","carcinoma","","MDA-MB-468","Breast","Breast adenocarcinoma","CVCL_0419","MDAMB468_907_2019","breast","Cancer cell line",TRUE
"MDST8",661,"MDST8","ccle;public","large_intestine","carcinoma","adenocarcinoma","MDST8","Bowel","Colon carcinoma","CVCL_2588","MDST8_908_2019","large_intestine","Cancer cell line",NA
"ME-1 [Human leukemia]",662,"ME1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","ME-1 [Human leukemia]","Myeloid","Adult acute myeloid leukemia","CVCL_2110","ME1_909_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MEC-1",663,"MEC1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma","MEC-1","Lymphoid","Chronic lymphocytic leukemia","CVCL_1870","MEC1_911_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Mel Ho",666,"MELHO","ccle;public","skin","malignant_melanoma","","Mel Ho","Skin","Melanoma","CVCL_1402","MELHO_914_2019","skin","Cancer cell line",NA
"Mel JuSo",667,"MELJUSO","ccle;public","skin","malignant_melanoma","","Mel JuSo","Skin","Cutaneous melanoma","CVCL_1403","MELJUSO_915_2019","skin","Cancer cell line",NA
"MES-SA",668,"MESSA","ccle;public","soft_tissue","sarcoma","","MES-SA","Uterus","Uterine corpus sarcoma","CVCL_1404","MESSA_916_2019","endometrium","Cancer cell line",NA
"MeWo",669,"MEWO","ccle;public","skin","malignant_melanoma","","MeWo","Skin","Cutaneous melanoma","CVCL_0445","Mewo_918_2019","skin","Cancer cell line",TRUE
"MFE-296",671,"MFE296","ccle;public","endometrium","carcinoma","adenocarcinoma","MFE-296","Uterus","Endometrial adenocarcinoma","CVCL_1406","MFE296_920_2019","endometrium","Cancer cell line",NA
"MFE-319",672,"MFE319","ccle;public","endometrium","carcinoma","adenocarcinoma","MFE-319","Uterus","Endometrial adenosquamous carcinoma","CVCL_2112","MFE319_921_2019","endometrium","Cancer cell line",NA
"MG-63",673,"MG63","ccle;public","bone","osteosarcoma","","MG-63","Bone","Osteosarcoma","CVCL_0426","MG63_924_2019","bone","Cancer cell line",NA
"MHH-CALL-3",675,"MHHCALL3","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","MHH-CALL-3","Lymphoid","Childhood B acute lymphoblastic leukemia","CVCL_0089","MHHCALL3_926_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MHH-CALL-4",676,"MHHCALL4","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","MHH-CALL-4","Lymphoid","Childhood B acute lymphoblastic leukemia","CVCL_1410","MHHCALL4_927_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MHH-ES-1",677,"MHHES1","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","MHH-ES-1","Bone","Ewing sarcoma","CVCL_1411","MHHES1_928_2019","bone","Cancer cell line",TRUE
"MHH-NB-11",678,"MHHNB11","ccle;public","autonomic_ganglia","neuroblastoma","","MHH-NB-11","Peripheral Nervous System","Neuroblastoma","CVCL_1412","MHHNB11_929_2019","autonomic_ganglia","Cancer cell line",TRUE
"MIA PaCa-2",679,"MIAPACA2","ccle;public","pancreas","carcinoma","ductal_carcinoma","MIA PaCa-2","Pancreas","Pancreatic ductal adenocarcinoma","CVCL_0428","MIAPaCa2_931_2019","pancreas","Cancer cell line",NA
"Mino",680,"MINO","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","mantle_cell_lymphoma","Mino","Lymphoid","Mantle cell lymphoma","CVCL_1872","Mino_932_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MJ",681,"MJ","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Sezary_syndrome; mycosis_fungoides","MJ","Lymphoid","Cutaneous T-cell non-Hodgkin lymphoma","CVCL_1414","MJ_933_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MKN1",682,"MKN1","ccle;public","stomach","carcinoma","mixed_adenosquamous_carcinoma","MKN1","Esophagus/Stomach","Gastric adenosquamous carcinoma","CVCL_1415","MKN1_936_2019","stomach","Cancer cell line",TRUE
"MKN45",683,"MKN45","ccle;public","stomach","carcinoma","diffuse_adenocarcinoma","MKN45","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0434","MKN45_938_2019","stomach","Cancer cell line",TRUE
"MKN7",684,"MKN7","ccle;public","stomach","carcinoma","tubular_adenocarcinoma","MKN7","Esophagus/Stomach","Gastric tubular adenocarcinoma","CVCL_1417","MKN7_939_2019","stomach","Cancer cell line",TRUE
"MKN74",685,"MKN74","ccle;public","stomach","carcinoma","tubular_adenocarcinoma","MKN74","Esophagus/Stomach","Gastric tubular adenocarcinoma","CVCL_2791","MKN74_940_2019","stomach","Cancer cell line",TRUE
"ML-1 [Human thyroid carcinoma]",686,"ML1","ccle;public","thyroid","carcinoma","follicular_carcinoma","ML-1 [Human thyroid carcinoma]","Thyroid","Thyroid gland follicular carcinoma","CVCL_H525","ML1_941_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MM1.S",688,"MM1S","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","MM1.S","Lymphoid","Plasma cell myeloma","CVCL_8792","MM1S_944_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLM-13",692,"MOLM13","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","MOLM-13","Myeloid","Adult acute myeloid leukemia","CVCL_2119","MOLM13_950_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLM-16",693,"MOLM16","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","MOLM-16","Myeloid","Adult acute myeloid leukemia","CVCL_2120","MOLM16_951_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLM-6",694,"MOLM6","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","MOLM-6","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_2122","MOLM6_952_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLP-2",695,"MOLP2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","MOLP-2","Lymphoid","Plasma cell myeloma","CVCL_2123","MOLP2_953_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLP-8",696,"MOLP8","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","MOLP-8","Lymphoid","Plasma cell myeloma","CVCL_2124","MOLP8_954_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLT-13",697,"MOLT13","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","MOLT-13","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1422","MOLT13_955_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLT-16",698,"MOLT16","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","MOLT-16","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1424","MOLT16_956_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOLT-3",699,"MOLT3","public","","","","MOLT-3","Lymphoid","Adult T acute lymphoblastic leukemia","CVCL_0624","MOLT3_957_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Mono-Mac-1",701,"MONOMAC1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","Mono-Mac-1","Myeloid","Adult acute monocytic leukemia","CVCL_1425","MONOMAC1_959_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Mono-Mac-6",702,"MONOMAC6","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","Mono-Mac-6","Myeloid","Adult acute monocytic leukemia","CVCL_1426","MONOMAC6_960_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MOR/CPR",703,"MORCPR","ccle;public","lung","carcinoma","adenocarcinoma","MOR/CPR","Lung","Lung adenocarcinoma","CVCL_2620","MOR/CPR_962_2019","lung","Cancer cell line",NA
"MOTN-1",704,"MOTN1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","T_cell_large_granular_lymphocytic_leukaemia","MOTN-1","Lymphoid","T-cell large granular lymphocyte leukemia","CVCL_2127","MOTN1_963_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MPP 89",705,"MPP89","ccle;public","pleura","mesothelioma","","MPP 89","Pleura","Pleural epithelioid mesothelioma","CVCL_1427","MPP89_964_2019","pleura","Cancer cell line",NA
"MSTO-211H",706,"MSTO211H","ccle;public","pleura","mesothelioma","","MSTO-211H","Pleura","Pleural biphasic mesothelioma","CVCL_1430","MSTO211H_968_2019","pleura","Cancer cell line",NA
"MV4-11",710,"MV411","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","MV4-11","Myeloid","Childhood acute monocytic leukemia","CVCL_0064","MV411_972_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"NALM-6",718,"NALM6","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","NALM-6","Lymphoid","Adult B acute lymphoblastic leukemia","CVCL_0092","NALM6_980_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Namalwa",719,"NAMALWA","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","Namalwa","Lymphoid","Epstein-Barr virus-related Burkitt lymphoma","CVCL_0067","NAMALWA_981_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"NB1",720,"NB1","ccle;public","autonomic_ganglia","neuroblastoma","","NB1","Peripheral Nervous System","Neuroblastoma","CVCL_1440","NB1_984_2019","autonomic_ganglia","Cancer cell line",TRUE
"NB4",721,"NB4","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","NB4","Myeloid","Acute promyelocytic leukemia with t(15","CVCL_0005","NB4_990_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"NCC-StC-K140",723,"NCCSTCK140","ccle;public","stomach","carcinoma","","NCC-StC-K140","Esophagus/Stomach","Gastric carcinoma","CVCL_3055","NCCStCK140_996_2019","stomach","Cancer cell line",NA
"NCI-H1092",155385,"NCIH1092","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1092","Lung","Small cell lung carcinoma","CVCL_1454","NCIH1092_1001_2019","lung","Cancer cell line",TRUE
"NCI-H1105",155387,"NCIH1105","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1105","Lung","Small cell lung carcinoma","CVCL_1455","NCIH1105_1002_2019","lung","Cancer cell line",TRUE
"NCI-H1155",155388,"NCIH1155","ccle;public","lung","carcinoma","large_cell_carcinoma","NCI-H1155","Lung","Large cell lung carcinoma","CVCL_1456","NCIH1155_1003_2019","lung","Cancer cell line",TRUE
"NCI-H1184",155390,"NCIH1184","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1184","Lung","Small cell lung carcinoma","CVCL_1458","NCIH1184_1004_2019","lung","Cancer cell line",TRUE
"NCI-H1299",155395,"NCIH1299","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1299","Lung","Large cell lung carcinoma","CVCL_0060","NCIH1299_1006_2019","lung","Cancer cell line",TRUE
"NCI-H1339",155399,"NCIH1339","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1339","Lung","Small cell lung carcinoma","CVCL_A472","NCIH1339_1008_2019","lung","Cancer cell line",TRUE
"NCI-H1341",155400,"NCIH1341","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1341","Lung","Small cell lung carcinoma","CVCL_1463","NCIH1341_1009_2019","lung","Cancer cell line",TRUE
"NCI-H1355",155401,"NCIH1355","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1355","Lung","Lung adenocarcinoma","CVCL_1464","NCIH1355_1010_2019","lung","Cancer cell line",TRUE
"NCI-H1373",155402,"NCIH1373","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1373","Lung","Lung adenocarcinoma","CVCL_1465","NCIH1373_1011_2019","lung","Cancer cell line",NA
"NCI-H1385",155404,"NCIH1385","ccle;public","lung","carcinoma","squamous_cell_carcinoma","NCI-H1385","Lung","Squamous cell lung carcinoma","CVCL_1466","NCIH1385_1012_2019","lung","Cancer cell line",TRUE
"NCI-H1395",127978,"NCIH1395","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1395","Lung","Lung adenocarcinoma","CVCL_1467","NCIH1395_1013_2019","lung","Cancer cell line",NA
"NCI-H1435",155407,"NCIH1435","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1435","Lung","Lung adenocarcinoma","CVCL_1470","NCIH1435_1016_2019","lung","Cancer cell line",NA
"NCI-H146",155292,"NCIH146","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H146","Lung","Small cell lung carcinoma","CVCL_1473","NCIH146_1019_2019","lung","Cancer cell line",TRUE
"NCI-H1563",155421,"NCIH1563","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1563","Lung","Lung adenocarcinoma","CVCL_1475","NCIH1563_1021_2019","lung","Cancer cell line",NA
"NCI-H1568",155422,"NCIH1568","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1568","Lung","Lung adenocarcinoma","CVCL_1476","NCIH1568_1022_2019","lung","Cancer cell line",TRUE
"NCI-H1573",155424,"NCIH1573","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1573","Lung","Lung adenocarcinoma","CVCL_1478","NCIH1573_1023_2019","lung","Cancer cell line",NA
"NCI-H1581",155425,"NCIH1581","ccle;public","lung","carcinoma","large_cell_carcinoma","NCI-H1581","Lung","Large cell lung carcinoma","CVCL_1479","NCIH1581_1024_2019","lung","Cancer cell line",NA
"NCI-H1623",155431,"NCIH1623","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1623","Lung","Lung adenocarcinoma","CVCL_1481","NCIH1623_1026_2019","lung","Cancer cell line",TRUE
"NCI-H1650",155434,"NCIH1650","ccle;public","lung","carcinoma","bronchioloalveolar_adenocarcinoma","NCI-H1650","Lung","Minimally invasive lung adenocarcinoma","CVCL_1483","NCIH1650_1028_2019","lung","Cancer cell line",TRUE
"NCI-H1651",155435,"NCIH1651","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1651","Lung","Lung adenocarcinoma","CVCL_1484","NCIH1651_1029_2019","lung","Cancer cell line",NA
"NCI-H1666",127983,"NCIH1666","ccle;public","lung","carcinoma","bronchioloalveolar_adenocarcinoma","NCI-H1666","Lung","Minimally invasive lung adenocarcinoma","CVCL_1485","NCIH1666_1030_2019","lung","Cancer cell line",TRUE
"NCI-H1693",155439,"NCIH1693","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1693","Lung","Lung adenocarcinoma","CVCL_1488","NCIH1693_1032_2019","lung","Cancer cell line",NA
"NCI-H1694",155440,"NCIH1694","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H1694","Lung","Small cell lung carcinoma","CVCL_1489","NCIH1694_1033_2019","lung","Cancer cell line",TRUE
"NCI-H1703",155441,"NCIH1703","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1703","Lung","Squamous cell lung carcinoma","CVCL_1490","NCIH1703_1034_2019","lung","Cancer cell line",NA
"NCI-H1734",155445,"NCIH1734","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1734","Lung","Lung adenocarcinoma","CVCL_1491","NCIH1734_1035_2019","lung","Cancer cell line",NA
"NCI-H1755",127984,"NCIH1755","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1755","Lung","Lung adenocarcinoma","CVCL_1492","NCIH1755_1036_2019","lung","Cancer cell line",TRUE
"NCI-H1792",155450,"NCIH1792","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H1792","Lung","Lung adenocarcinoma","CVCL_1495","NCIH1792_1039_2019","lung","Cancer cell line",TRUE
"NCI-H1793",155451,"NCIH1793","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1793","Lung","Lung adenocarcinoma","CVCL_1496","NCIH1793_1040_2019","lung","Cancer cell line",NA
"NCI-H1838",155455,"NCIH1838","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1838","Lung","Lung adenocarcinoma","CVCL_1499","NCIH1838_1042_2019","lung","Cancer cell line",NA
"NCI-H1869",155456,"NCIH1869","ccle;public","lung","carcinoma","squamous_cell_carcinoma","NCI-H1869","Lung","Squamous cell lung carcinoma","CVCL_1500","NCIH1869_1043_2019","lung","Cancer cell line",NA
"NCI-H1915",155463,"NCIH1915","ccle;public","lung","carcinoma","large_cell_carcinoma","NCI-H1915","Lung","Non-small cell lung carcinoma","CVCL_1505","NCIH1915_1047_2019","lung","Cancer cell line",NA
"NCI-H1944",155467,"NCIH1944","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1944","Lung","Lung adenocarcinoma","CVCL_1508","NCIH1944_1050_2019","lung","Cancer cell line",NA
"NCI-H196",155294,"NCIH196","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H196","Lung","Small cell lung carcinoma","CVCL_1509","NCIH196_1051_2019","lung","Cancer cell line",TRUE
"NCI-H1975",127985,"NCIH1975","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H1975","Lung","Lung adenocarcinoma","CVCL_1511","NCIH1975_1053_2019","lung","Cancer cell line",NA
"NCI-H2009",155476,"NCIH2009","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2009","Lung","Lung adenocarcinoma","CVCL_1514","NCIH2009_1055_2019","lung","Cancer cell line",TRUE
"NCI-H2023",155477,"NCIH2023","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2023","Lung","Lung adenocarcinoma","CVCL_1515","NCIH2023_1056_2019","lung","Cancer cell line",NA
"NCI-H2029",155479,"NCIH2029","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2029","Lung","Small cell lung carcinoma","CVCL_1516","NCIH2029_1057_2019","lung","Cancer cell line",TRUE
"NCI-H2030",155480,"NCIH2030","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H2030","Lung","Lung adenocarcinoma","CVCL_1517","NCIH2030_1058_2019","lung","Cancer cell line",TRUE
"NCI-H2052",155481,"NCIH2052","ccle;public","pleura","mesothelioma","","NCI-H2052","Pleura","Pleural sarcomatoid mesothelioma","CVCL_1518","NCIH2052_1059_2019","pleura","Cancer cell line",NA
"NCI-H2081",155487,"NCIH2081","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2081","Lung","Small cell lung carcinoma","CVCL_1522","NCIH2081_1062_2019","lung","Cancer cell line",TRUE
"NCI-H2085",155488,"NCIH2085","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2085","Lung","Lung adenocarcinoma","CVCL_1523","NCIH2085_1063_2019","lung","Cancer cell line",NA
"NCI-H2087",127988,"NCIH2087","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2087","Lung","Lung adenocarcinoma","CVCL_1524","NCIH2087_1064_2019","lung","Cancer cell line",TRUE
"NCI-H209",127989,"NCIH209","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H209","Lung","Small cell lung carcinoma","CVCL_1525","NCIH209_1065_2019","lung","Cancer cell line",TRUE
"NCI-H2106",155491,"NCIH2106","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H2106","Lung","Large cell lung carcinoma","CVCL_1526","NCIH2106_1066_2019","lung","Cancer cell line",TRUE
"NCI-H211",155295,"NCIH211","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H211","Lung","Small cell lung carcinoma","CVCL_1529","NCIH211_1068_2019","lung","Cancer cell line",TRUE
"NCI-H2110",155493,"NCIH2110","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H2110","Lung","Non-small cell lung carcinoma","CVCL_1530","NCIH2110_1069_2019","lung","Cancer cell line",TRUE
"NCI-H2122",127990,"NCIH2122","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2122","Lung","Lung adenocarcinoma","CVCL_1531","NCIH2122_1070_2019","lung","Cancer cell line",TRUE
"NCI-H2126",155494,"NCIH2126","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2126","Lung","Large cell lung carcinoma","CVCL_1532","NCIH2126_1071_2019","lung","Cancer cell line",TRUE
"NCI-H2141",155496,"NCIH2141","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2141","Lung","Small cell lung carcinoma","CVCL_1534","NCIH2141_1073_2019","lung","Cancer cell line",TRUE
"NCI-H2170",155498,"NCIH2170","ccle;public","lung","carcinoma","squamous_cell_carcinoma","NCI-H2170","Lung","Squamous cell lung carcinoma","CVCL_1535","NCIH2170_1074_2019","lung","Cancer cell line",NA
"NCI-H2171",155499,"NCIH2171","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2171","Lung","Small cell lung carcinoma","CVCL_1536","NCIH2171_1075_2019","lung","Cancer cell line",TRUE
"NCI-H2172",155500,"NCIH2172","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H2172","Lung","Non-small cell lung carcinoma","CVCL_1537","NCIH2172_1076_2019","lung","Cancer cell line",NA
"NCI-H2196",155502,"NCIH2196","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2196","Lung","Small cell lung carcinoma","CVCL_1539","NCIH2196_1077_2019","lung","Cancer cell line",TRUE
"NCI-H2228",155505,"NCIH2228","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2228","Lung","Lung adenocarcinoma","CVCL_1543","NCIH2228_1081_2019","lung","Cancer cell line",NA
"NCI-H226",155297,"NCIH226","ccle;public","lung","carcinoma","squamous_cell_carcinoma","NCI-H226","Pleura","Pleural epithelioid mesothelioma","CVCL_1544","NCIH226_1082_2019","lung","Cancer cell line",NA
"NCI-H2286",155510,"NCIH2286","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H2286","Lung","Squamous cell lung carcinoma","CVCL_1545","NCIH2286_1083_2019","lung","Cancer cell line",NA
"NCI-H2291",155511,"NCIH2291","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2291","Lung","Lung adenocarcinoma","CVCL_1546","NCIH2291_1084_2019","lung","Cancer cell line",NA
"NCI-H23",127991,"NCIH23","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H23","Lung","Lung adenocarcinoma","CVCL_1547","NCIH23_1085_2019","lung","Cancer cell line",NA
"NCI-H2342",155513,"NCIH2342","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2342","Lung","Lung adenocarcinoma","CVCL_1549","NCIH2342_1086_2019","lung","Cancer cell line",NA
"NCI-H2405",155518,"NCIH2405","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H2405","Lung","Lung adenocarcinoma","CVCL_1551","NCIH2405_1090_2019","lung","Cancer cell line",NA
"NCI-H2444",155519,"NCIH2444","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H2444","Lung","Non-small cell lung carcinoma","CVCL_1552","NCIH2444_1091_2019","lung","Cancer cell line",NA
"NCI-H2452",155520,"NCIH2452","ccle;public","pleura","mesothelioma","","NCI-H2452","Pleura","Pleural biphasic mesothelioma","CVCL_1553","NCIH2452_1092_2019","pleura","Cancer cell line",NA
"NCI-H28",155285,"NCIH28","ccle;public","pleura","mesothelioma","","NCI-H28","Pleura","Pleural sarcomatoid mesothelioma","CVCL_1555","NCIH28_1099_2019","pleura","Cancer cell line",NA
"NCI-H292",290,"H292","ccle;public","lung","carcinoma","mucoepidermoid_carcinoma","NCI-H292","Lung","Lung mucoepidermoid carcinoma","CVCL_0455","NCIH292_1103_2019","lung","Cancer cell line",NA
"NCI-H322",155305,"NCIH322","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H322","Lung","Minimally invasive lung adenocarcinoma","CVCL_1556","H322T_435_2019","lung","Cancer cell line",NA
"NCI-H358",127997,"NCIH358","ccle;public","lung","carcinoma","bronchioloalveolar_adenocarcinoma","NCI-H358","Lung","Minimally invasive lung adenocarcinoma","CVCL_1559","NCIH358_1110_2019","lung","Cancer cell line",NA
"NCI-H441",127999,"NCIH441","ccle;public","lung","carcinoma","adenocarcinoma","NCI-H441","Lung","Papillary lung adenocarcinoma","CVCL_1561","NCIH441_1112_2019","lung","Cancer cell line",TRUE
"NCI-H446",128000,"NCIH446","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H446","Lung","Small cell lung carcinoma","CVCL_1562","NCIH446_1113_2019","lung","Cancer cell line",TRUE
"NCI-H460",128001,"NCIH460","ccle;public","lung","carcinoma","large_cell_carcinoma","NCI-H460","Lung","Large cell lung carcinoma","CVCL_0459","NCIH460_1114_2019","lung","Cancer cell line",TRUE
"NCI-H508",128003,"NCIH508","ccle;public","large_intestine","carcinoma","adenocarcinoma","NCI-H508","Bowel","Cecum adenocarcinoma","CVCL_1564","NCIH508_1115_2019","large_intestine","Cancer cell line",TRUE
"NCI-H510A",155322,"NCIH510","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H510A","Lung","Small cell lung carcinoma","CVCL_1565","NCIH510A_1116_2019","lung","Cancer cell line",TRUE
"NCI-H520",155324,"NCIH520","ccle;public","lung","carcinoma","squamous_cell_carcinoma","NCI-H520","Lung","Squamous cell lung carcinoma","CVCL_1566","NCIH520_1117_2019","lung","Cancer cell line",NA
"NCI-H522",155325,"NCIH522","ccle;public","lung","carcinoma","non_small_cell_carcinoma","NCI-H522","Lung","Lung adenocarcinoma","CVCL_1567","NCIH522_1118_2019","lung","Cancer cell line",NA
"NCI-H524",155326,"NCIH524","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H524","Lung","Small cell lung carcinoma","CVCL_1568","NCIH524_1119_2019","lung","Cancer cell line",TRUE
"NCI-H526",155327,"NCIH526","ccle;public","lung","carcinoma","small_cell_carcinoma","NCI-H526","Lung","Small cell lung carcinoma","CVCL_1569","NCIH526_1120_2019","lung","Cancer cell line",TRUE
